X,Y
-75.36428138,39.85140534
-75.35428138,39.85140534
-75.34428138,39.85140534
-75.33428138,39.85140534
-75.29428138,39.85140534
-75.28428138,39.85140534
-75.27428138,39.85140534
-75.26428138,39.85140534
-75.25428138,39.85140534
-75.24428138,39.85140534
-75.23428138,39.85140534
-75.22428138,39.85140534
-74.13428138,39.85140534
-74.12428138,39.85140534
-74.09428138,39.85140534
-74.07428138,39.85140534
-75.39428138,39.84140534
-75.38428138,39.84140534
-75.37428138,39.84140534
-75.36428138,39.84140534
-75.33428138,39.84140534
-75.32428138,39.84140534
-75.31428138,39.84140534
-75.30428138,39.84140534
-75.29428138,39.84140534
-74.14428138,39.84140534
-74.13428138,39.84140534
-74.09428138,39.84140534
-74.08428138,39.84140534
-74.07428138,39.84140534
-75.40428138,39.83140534
-75.39428138,39.83140534
-75.36428138,39.83140534
-75.35428138,39.83140534
-75.34428138,39.83140534
-75.33428138,39.83140534
-74.15428138,39.83140534
-74.14428138,39.83140534
-74.09428138,39.83140534
-74.08428138,39.83140534
-75.41428138,39.82140534
-75.40428138,39.82140534
-75.38428138,39.82140534
-75.37428138,39.82140534
-75.36428138,39.82140534
-74.15428138,39.82140534
-74.09428138,39.82140534
-74.08428138,39.82140534
-75.42428138,39.81140534
-75.41428138,39.81140534
-75.40428138,39.81140534
-75.39428138,39.81140534
-75.38428138,39.81140534
-74.16428138,39.81140534
-74.15428138,39.81140534
-74.09428138,39.81140534
-74.08428138,39.81140534
-75.44428138,39.80140534
-75.43428138,39.80140534
-75.42428138,39.80140534
-75.41428138,39.80140534
-75.40428138,39.80140534
-74.17428138,39.80140534
-74.16428138,39.80140534
-74.09428138,39.80140534
-74.08428138,39.80140534
-75.46428138,39.79140534
-75.45428138,39.79140534
-75.44428138,39.79140534
-75.42428138,39.79140534
-75.41428138,39.79140534
-74.17428138,39.79140534
-74.10428138,39.79140534
-74.09428138,39.79140534
-74.08428138,39.79140534
-75.47428138,39.78140534
-75.46428138,39.78140534
-75.44428138,39.78140534
-75.43428138,39.78140534
-75.42428138,39.78140534
-74.18428138,39.78140534
-74.17428138,39.78140534
-74.10428138,39.78140534
-74.09428138,39.78140534
-75.47428138,39.77140534
-75.44428138,39.77140534
-74.18428138,39.77140534
-74.09428138,39.77140534
-75.48428138,39.76140534
-75.47428138,39.76140534
-75.45428138,39.76140534
-75.44428138,39.76140534
-74.18428138,39.76140534
-75.48428138,39.75140534
-75.46428138,39.75140534
-75.45428138,39.75140534
-74.19428138,39.75140534
-74.18428138,39.75140534
-74.11428138,39.75140534
-74.10428138,39.75140534
-74.09428138,39.75140534
-75.48428138,39.74140534
-75.46428138,39.74140534
-74.19428138,39.74140534
-74.18428138,39.74140534
-74.17428138,39.74140534
-74.16428138,39.74140534
-74.11428138,39.74140534
-74.10428138,39.74140534
-75.49428138,39.73140534
-75.48428138,39.73140534
-75.46428138,39.73140534
-74.16428138,39.73140534
-74.12428138,39.73140534
-74.11428138,39.73140534
-74.10428138,39.73140534
-75.49428138,39.72140534
-75.46428138,39.72140534
-74.16428138,39.72140534
